,0,1,2,3
0,vodka,cranberry juice,orange juice,triple sec
1,vodka,lemon/lime,cranberry juice,cherry
2,vodka,cranberry juice,lemon/lime,orange juice
3,vodka,lemon/lime,powdered sugar,peach schnapps
4,vodka,vanilla extract,lemon/lime,pineapple juice
5,vodka,cherry,lemon/lime,cranberry juice
6,vodka,cloves,orange juice,cranberry juice
7,vodka,sweet and sour,vanilla extract,cranberry juice
8,vodka,cherry,peach schnapps,cranberry juice
9,vodka,amaretto,cranberry juice,triple sec
10,vodka,pineapple juice,peach schnapps,powdered sugar
11,vodka,cloves,orange juice,powdered sugar
12,vodka,lemon/lime,sweet and sour,powdered sugar
13,vodka,cranberry juice,food coloring,cherry
14,vodka,powdered sugar,triple sec,pineapple juice
15,vodka,cranberry juice,cherry,vanilla extract
16,vodka,pineapple juice,cranberry juice,vanilla extract
17,vodka,peach schnapps,food coloring,sweet and sour
18,vodka,orange juice,food coloring,lemon/lime
19,vodka,peach schnapps,vanilla extract,lemon/lime
20,vodka,cranberry juice,coca-cola,ginger
21,vodka,food coloring,orange juice,vanilla extract
22,vodka,sweet and sour,peach schnapps,pineapple juice
23,vodka,triple sec,sweet and sour,lemon/lime
24,vodka,vanilla extract,peach schnapps,lemon/lime
25,vodka,cranberry juice,ginger,cloves
26,vodka,vanilla extract,pineapple juice,food coloring
27,vodka,cranberry juice,vanilla extract,ginger beer
28,vodka,orange juice,tomato juice,powdered sugar
29,vodka,vanilla extract,pineapple,cranberry juice
30,vodka,amaretto,powdered sugar,cranberry juice
31,vodka,vanilla extract,triple sec,orange juice
32,vodka,lemon/lime,pineapple juice,orange juice
33,vodka,pineapple juice,peach schnapps,cranberry juice
34,vodka,orange juice,cranberry juice,lemon/lime
35,vodka,peach schnapps,lemon/lime,orange juice
36,vodka,lemon/lime,cranberry juice,pineapple juice
37,vodka,coca-cola,lemon/lime,tomato juice
38,vodka,cranberry juice,peach schnapps,vanilla extract
39,vodka,vanilla extract,pineapple juice,lemon/lime
40,vodka,cranberry juice,powdered sugar,food coloring
41,vodka,cranberry juice,vanilla extract,orange juice
42,vodka,pineapple juice,lemon/lime,triple sec
43,vodka,peach schnapps,cranberry juice,cloves
44,vodka,triple sec,food coloring,powdered sugar
45,vodka,vanilla extract,lemon/lime,amaretto
46,vodka,tomato juice,lemon/lime,creme de cassis
47,vodka,pineapple juice,vanilla extract,lemon/lime
48,vodka,cranberry juice,vanilla extract,egg white
49,vodka,amaretto,coca-cola,pineapple juice
50,vodka,pineapple juice,food coloring,vanilla extract
51,vodka,cranberry juice,vanilla extract,amaretto
52,vodka,pineapple juice,cranberry juice,orange juice
53,vodka,lemon/lime,peach schnapps,cranberry juice
54,vodka,lemon/lime,vanilla extract,amaretto
55,vodka,cranberry juice,vanilla extract,sweet and sour
56,vodka,sweet and sour,vanilla extract,cranberry juice
57,vodka,benedictine,lemon/lime,cloves
58,vodka,cranberry juice,pineapple juice,peach schnapps
59,vodka,sweet and sour,orange juice,egg white
60,vodka,cherry,pineapple juice,food coloring
61,vodka,cranberry juice,powdered sugar,orange peel
62,vodka,lemon/lime,cloves,cranberry juice
63,vodka,lemon/lime,vanilla extract,cranberry juice
64,vodka,pineapple,sweet and sour,vanilla extract
65,vodka,vanilla extract,sweet and sour,cranberry juice
66,vodka,cranberry juice,triple sec,orange peel
67,vodka,ginger beer,cranberry juice,lemon/lime
68,vodka,egg white,cloves,peach schnapps
69,vodka,pineapple juice,ginger,cranberry juice
70,vodka,sweet and sour,cloves,cranberry juice
71,vodka,vanilla extract,cherry,orange juice
72,vodka,egg white,cranberry juice,pineapple juice
73,vodka,lemon/lime,pineapple juice,cranberry juice
74,vodka,cranberry juice,lemon/lime,amaretto
75,vodka,lemon/lime,vanilla extract,orange juice
76,vodka,vanilla extract,orange juice,cranberry juice
77,vodka,lemon/lime,pineapple,vanilla extract
78,vodka,cloves,peach schnapps,cranberry juice
79,vodka,cherry,pineapple juice,orange juice
80,vodka,vanilla extract,peach schnapps,lemon/lime
81,vodka,lemon/lime,cloves,orange juice
82,vodka,sweet and sour,food coloring,cranberry juice
83,vodka,cloves,triple sec,cranberry juice
84,vodka,angostura bitters,cloves,amaretto
85,vodka,food coloring,cloves,pineapple juice
86,vodka,vanilla extract,peach schnapps,pineapple juice
87,vodka,triple sec,tomato juice,vanilla extract
88,vodka,cloves,food coloring,lemon/lime
89,vodka,cranberry juice,powdered sugar,cloves
90,vodka,peach schnapps,cranberry juice,orange peel
91,vodka,peach schnapps,lemon/lime,cranberry juice
92,vodka,cloves,peach schnapps,vanilla extract
93,vodka,cloves,vanilla extract,cranberry juice
94,vodka,cranberry juice,vanilla extract,powdered sugar
95,vodka,triple sec,cherry,angostura bitters
96,vodka,pineapple juice,lemon/lime,orange juice
97,vodka,vanilla extract,peach schnapps,powdered sugar
98,vodka,amaretto,pineapple juice,lemon/lime
